Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-25 00:00:00-05:00,156.41773971689992,160.13681684031084,154.48933714106155,157.20484924316406,115798400,0.0,0.0
2022-01-26 00:00:00-05:00,160.86492613213542,161.74058170445005,155.27647596564844,157.1163330078125,108275300,0.0,0.0
2022-01-27 00:00:00-05:00,159.83183900024744,161.19943618602957,155.72904744290105,156.65390014648438,121954600,0.0,0.0
2022-01-28 00:00:00-05:00,163.03930297240717,167.60452073615352,160.17619905897428,167.5848388671875,179935700,0.0,0.0
2022-01-31 00:00:00-05:00,167.41758353014143,172.17957503076116,166.77805038659238,171.96311950683594,115541600,0.0,0.0
2022-02-01 00:00:00-05:00,171.205516713621,172.0221416021034,169.53291821282656,171.7958526611328,86213900,0.0,0.0
2022-02-02 00:00:00-05:00,171.93358291716743,173.04537569665726,170.53647062576493,173.00601196289062,84914300,0.0,0.0
2022-02-03 00:00:00-05:00,171.6679560130524,173.3996002497915,169.34599079704418,170.11341857910156,89418100,0.0,0.0
2022-02-04 00:00:00-05:00,169.12825935026342,171.5123033629512,168.14312266243942,169.8277130126953,82465400,0.22,0.0
2022-02-07 00:00:00-05:00,170.29074266054957,171.3645381321525,168.40912782220335,169.10858154296875,77251200,0.0,0.0
2022-02-08 00:00:00-05:00,169.17754560815493,172.74375119669648,168.88200154925988,172.23147583007812,74829200,0.0,0.0
2022-02-09 00:00:00-05:00,173.43335009555227,174.02442320219117,172.30043366850177,173.65992736816406,71285000,0.0,0.0
2022-02-10 00:00:00-05:00,171.55174843259016,172.87182834222676,169.00024733142757,169.561767578125,90865900,0.0,0.0
2022-02-11 00:00:00-05:00,169.76865699456505,170.5075097270727,165.54241094670274,166.1334991455078,98670700,0.0,0.0
2022-02-14 00:00:00-05:00,164.8823676567189,167.05952694542256,164.08440912679492,166.36993408203125,86185500,0.0,0.0
2022-02-15 00:00:00-05:00,168.42881508621232,170.3793814539032,167.7195154921443,170.2217559814453,62527400,0.0,0.0
2022-02-16 00:00:00-05:00,169.2957588343913,170.7636029916525,167.5225096535446,169.9853515625,61177400,0.0,0.0
2022-02-17 00:00:00-05:00,168.48797252644675,169.3548978587084,165.966024322046,166.36993408203125,69589300,0.0,0.0
2022-02-18 00:00:00-05:00,167.2959338848835,168.00521853149442,163.71988259124893,164.81338500976562,82772700,0.0,0.0
2022-02-22 00:00:00-05:00,162.52787972804626,164.2124704222086,159.73994052851194,161.87770080566406,91162800,0.0,0.0
2022-02-23 00:00:00-05:00,163.07954147336417,163.68047553080768,157.37560593795362,157.69085693359375,90009200,0.0,0.0
2022-02-24 00:00:00-05:00,150.31215926846122,160.42951737151856,149.74077817946358,160.32115173339844,141147500,0.0,0.0
